1455793,,,,,,,,,,,,,,,Insecta,1.06877E+12,"Dicheniotes katonae (Bezzi, 1924)",Tephritidae,Dicheniotes,,Dry,,,Yes,,,,,,,1.29496E+12,Diptera,Arthropoda,"Dicheniotes katonae (Bezzi, 1924)",katonae,Tephritinae,,Cyclorrhapha,,Species,
1664658,,,,,,,,,,,,,,No,Insecta,1.03715E+12,"Chrysis praecipua Linsenmaier, 1987",Chrysididae,Chrysis,,Dry,,,Yes,,,,,,,1.40725E+12,Hymenoptera,Arthropoda,"Chrysis praecipua Linsenmaier, 1987",praecipua,Chrysidinae,,,Chrysidoidea,Species,
1678861,,,,,,,,,,,,,,No,Insecta,1.00034E+12,"Harpactus consanguineus (Handlirsch, 1888)",Crabronidae,Harpactus,,Dry,,,Yes,,,,,,,1.38541E+12,Hymenoptera,Arthropoda,"Harpactus consanguineus (Handlirsch, 1888)",consanguineus,Bembicinae,,,Apoidea,Species,
1549826,,,,,,,,,,,,,,,Insecta,1.05848E+12,Argyractis periopis Hampson,Crambidae,Argyractis,,Dry,,,Yes,1,,,,Type,,1.34252E+12,Lepidoptera,Arthropoda,Argyractis periopis Hampson,periopis,Nymphulinae,,,Pyraloidea,Species,Yes
1474829,,,,,,,,,,,,,,,Insecta,9.22835E+11,"Anopheles (Cellia) cinereus hispaniola (Theobald, 1903)",Culicidae,Anopheles,hispaniola,Spirit,,,Yes,,,,,,,1.23933E+12,Diptera,Arthropoda,"Anopheles (Cellia) cinereus hispaniola (Theobald, 1903)",cinereus,Anophelinae,Cellia,Nematocera,,Subspecies,
1554578,,,,,,,,,,,,,,,Insecta,1.06194E+12,Parapedasia detomatellus Möschler,Crambidae,Parapedasia,,Dry,,,Yes,,,,,,,1.23929E+12,Lepidoptera,Arthropoda,Parapedasia detomatellus Möschler,detomatellus,Crambinae,,,Pyraloidea,Species,
1014085,,,,,,,,,,,,,,No,Insecta,1.0457E+12,"Poecilopeplus flavescens Rosenberg, 1898",Cerambycidae,Poecilopeplus,,Dry,,,Yes,,,,,,,1.47316E+12,Coleoptera,Arthropoda,"Poecilopeplus flavescens Rosenberg, 1898",flavescens,Cerambycinae,,,Chrysomeloidea,Species,
1457229,,,,,,,,,,,,,,,Insecta,9.84442E+11,"Hexachaeta eximia (Wiedemann, 1830)",Tephritidae,Hexachaeta,,Dry,,,Yes,,,,,,,1.23935E+12,Diptera,Arthropoda,"Hexachaeta eximia (Wiedemann, 1830)",eximia,Trypetinae,,Cyclorrhapha,,Species,
1443010,,,,,,,,,,,,,,,Insecta,9.22835E+11,"Peleteria abdominalis Robineau-Desvoidy, 1830",Tachinidae,Peleteria,,Dry,,,Yes,,,,,,,1.4559E+12,Diptera,Arthropoda,"Peleteria abdominalis Robineau-Desvoidy, 1830",abdominalis,Tachininae,,Cyclorrhapha,,Species,
1014084,,,,,,,,,,,,,,No,Insecta,1.0457E+12,Poecilopeplus corallifer Sturm,Cerambycidae,Poecilopeplus,,Dry,,,Yes,,,,,,,1.47316E+12,Coleoptera,Arthropoda,Poecilopeplus corallifer Sturm,corallifer,Cerambycinae,,,Chrysomeloidea,Species,
589168,,,,,,,,,,,,,,,Insecta,1.26473E+12,"Cyrtoxiphoides brevipes (Chopard, 1929)",Trigonidiidae,Cyrtoxiphoides,,Dry,,,Yes,,,,,Syntype,,1.26473E+12,Orthoptera,Arthropoda,"Cyrtoxiphoides brevipes (Chopard, 1929)",brevipes,Trigonidiinae,,,Grylloidea,Species,Yes
1679379,,,,,,,,,,,,,,,Insecta,1.16916E+12,"Hemipepsis odin Strand, 1911",Pompilidae,Hemipepsis,,Dry,,,Yes,,,,,,,1.23938E+12,Hymenoptera,Arthropoda,"Hemipepsis odin Strand, 1911",odin,,,,Vespoidea,Species,
1009171,,,,,,,,,,,,,,No,Insecta,1.05347E+12,Nupserha pseudoventralis Breuning,Cerambycidae,Nupserha,,Dry,,,Yes,,,,,,,1.47316E+12,Coleoptera,Arthropoda,Nupserha pseudoventralis Breuning,pseudoventralis,Lamiinae,,,Chrysomeloidea,Species,
546770,,,,,,,,,,,,,,No,Insecta,1.25493E+12,"Eupholus nagaii Porion, 1993",Curculionidae,Eupholus,,,,,Yes,,,,,,,1.25508E+12,Coleoptera,Arthropoda,"Eupholus nagaii Porion, 1993",nagaii,Entiminae,,,Curculionoidea,Species,No
1476147,,,,,,,,,,,,,,,Insecta,9.22835E+11,"Aedes (Albuginosus) marshallii (Theobald, 1901)",Culicidae,Aedes,,Dry,,,Yes,3 | 1,,Female | Male,,Syntype | Syntype,,1.23935E+12,Diptera,Arthropoda,"Aedes (Albuginosus) marshallii (Theobald, 1901)",marshallii,Culicinae,Albuginosus,Nematocera,,Species,Yes
1446220,,,,,,,,,,,,,,,Insecta,1.09659E+12,"Catapicephala sinica Fan, 1965",Calliphoridae,Catapicephala,,Dry,,,Yes,,,,,,,1.40007E+12,Diptera,Arthropoda,"Catapicephala sinica Fan, 1965",sinica,Ameniinae,,Cyclorrhapha,,Species,
1009170,,,,,,,,,,,,,,No,Insecta,1.05347E+12,Nupserha pseudofrontalis Breuning,Cerambycidae,Nupserha,,Dry,,,Yes,,,,,,,1.47316E+12,Coleoptera,Arthropoda,Nupserha pseudofrontalis Breuning,pseudofrontalis,Lamiinae,,,Chrysomeloidea,Species,
1703204,,,,,,,,,,,,,,,Insecta,1.16916E+12,"Psoropempula puna Evans, 1975",Pompilidae,Psoropempula,,Dry,,,Yes,,,,,,,1.2393E+12,Hymenoptera,Arthropoda,"Psoropempula puna Evans, 1975",puna,,,,Vespoidea,Species,
1702916,,,,,,,,,,,,,,,Insecta,1.04881E+12,Pseudonortonia bicarinatus Guichard,Vespidae,Pseudonortonia,,Dry,,,Yes,1,,,,Holotype (possible),,1.3422E+12,Hymenoptera,Arthropoda,Pseudonortonia bicarinatus Guichard,bicarinatus,Eumeninae,,,Vespoidea,Species,
1014112,,,,,,,,,,,,,,No,Insecta,1.15923E+12,"Pogonocherus parvulus LeConte, 1852",Cerambycidae,Pogonocherus,,Dry,,,Yes,,,,,,,1.47316E+12,Coleoptera,Arthropoda,"Pogonocherus parvulus LeConte, 1852",parvulus,Lamiinae,,,Chrysomeloidea,Species,
1720462,,,,,,,,,,,,,,,Insecta,1.14255E+12,"Diglochis paludicola Abraham, 1986",Pteromalidae,Diglochis,,,,,Yes,1,,,,Holotype,,1.34245E+12,Hymenoptera,Arthropoda,"Diglochis paludicola Abraham, 1986",paludicola,Pteromalinae,,Parasitica,Chalcidoidea,Species,
